{id=316077207, lat=47.4288523, lon=12.8427008, country='null', city='null', street='null', housenumber='null', postcode='null', name='OMV'}
{id=316570911, lat=47.4993658, lon=12.1883821, country='null', city='null', street='null', housenumber='null', postcode='null', name='BP'}
{id=321984079, lat=47.8783925, lon=13.1636776, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=322189685, lat=47.2244954, lon=9.6173711, country='AT', city='Frastanz', street='null', housenumber='null', postcode='6820', name='OMV'}
{id=325172416, lat=47.2219437, lon=9.6713863, country='null', city='null', street='null', housenumber='null', postcode='null', name='Diskont'}
{id=327361773, lat=47.4988653, lon=10.5169751, country='AT', city='Tannheim', street='null', housenumber='null', postcode='6675', name='OMV'}
{id=329205089, lat=47.429786, lon=12.8425375, country='null', city='null', street='null', housenumber='null', postcode='null', name='Jet'}
{id=329991124, lat=47.3980307, lon=9.8536471, country='AT', city='Andelsbuch', street='null', housenumber='null', postcode='6866', name='Eni'}
{id=330029050, lat=47.5840214, lon=13.1574137, country='null', city='null', street='null', housenumber='null', postcode='null', name='OMV'}
{id=339236086, lat=47.6798363, lon=13.1044151, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=339236094, lat=47.6822529, lon=13.1004639, country='AT', city='Hallein', street='null', housenumber='null', postcode='5400', name='Turmöl'}
{id=349198885, lat=47.0376531, lon=11.4736509, country='null', city='null', street='null', housenumber='null', postcode='null', name='BP'}
{id=349198888, lat=47.3099251, lon=11.0615511, country='null', city='null', street='null', housenumber='null', postcode='null', name='Disc'}
{id=352945137, lat=48.4407994, lon=14.117574, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=357999663, lat=47.5891657, lon=12.1744214, country='AT', city='Kufstein', street='null', housenumber='null', postcode='6330', name='OMV'}
{id=360163475, lat=47.5742244, lon=12.1578419, country='null', city='null', street='null', housenumber='null', postcode='null', name='Jet'}
{id=360778053, lat=47.2274537, lon=10.7469278, country='null', city='null', street='null', housenumber='null', postcode='null', name='OMV'}
{id=365765224, lat=48.246819, lon=13.0401008, country='AT', city='Braunau am Inn', street='null', housenumber='null', postcode='5280', name='OMV'}
{id=367460867, lat=47.4390284, lon=9.6567397, country='AT', city='Lustenau', street='null', housenumber='null', postcode='6890', name='Avanti'}
{id=369787351, lat=47.1489834, lon=10.374294, country='null', city='null', street='null', housenumber='null', postcode='null', name='OMV'}
{id=380924342, lat=47.4555052, lon=11.9568644, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=396422424, lat=47.2648692, lon=11.3778129, country='null', city='null', street='null', housenumber='null', postcode='null', name='BP Express'}
{id=409230145, lat=47.3032925, lon=10.4847212, country='AT', city='Häselgehr', street='null', housenumber='null', postcode='6651', name='OMV'}
{id=411530862, lat=47.5155086, lon=9.843744, country='null', city='null', street='null', housenumber='null', postcode='null', name='Shell'}
{id=411530870, lat=47.5054938, lon=9.8221393, country='null', city='null', street='null', housenumber='null', postcode='null', name='Böhler's'}
{id=413987839, lat=48.2313909, lon=13.8407958, country='null', city='null', street='null', housenumber='null', postcode='null', name='Genol'}
{id=414173901, lat=47.6495842, lon=12.312857, country='AT', city='Walchsee', street='null', housenumber='null', postcode='6344', name='BP'}
{id=416025384, lat=47.0573698, lon=10.6536604, country='null', city='null', street='null', housenumber='null', postcode='null', name='OMV'}
{id=416031065, lat=46.8944192, lon=10.4984144, country='null', city='null', street='null', housenumber='null', postcode='6543', name='BP'}
{id=419011516, lat=47.327185, lon=10.8196777, country='AT', city='Nassereith', street='null', housenumber='null', postcode='6465', name='OMV'}
{id=422044982, lat=47.4393589, lon=12.04271, country='null', city='null', street='null', housenumber='null', postcode='null', name='ENI'}
{id=423184206, lat=48.4187233, lon=13.4364062, country='null', city='null', street='null', housenumber='null', postcode='null', name='Land lebt auf'}
{id=429786020, lat=48.5538931, lon=14.2181746, country='null', city='null', street='null', housenumber='null', postcode='null', name='Genol'}
{id=430259294, lat=47.5824331, lon=13.1824267, country='null', city='null', street='null', housenumber='null', postcode='null', name='Esso'}
{id=430868308, lat=47.4907031, lon=9.6635305, country='null', city='null', street='null', housenumber='null', postcode='null', name='Seetankstelle MBSV'}
{id=433565074, lat=48.5507954, lon=13.7729941, country='null', city='null', street='null', housenumber='null', postcode='null', name='Pink'}
{id=434624858, lat=47.5433444, lon=9.7514193, country='AT', city='Hörbranz', street='null', housenumber='null', postcode='6912', name='Shell Scheier'}
{id=440148789, lat=48.0261807, lon=13.5101097, country='null', city='null', street='null', housenumber='null', postcode='null', name='Lagerhaus Zipf'}
{id=441934448, lat=48.2195756, lon=14.110912, country='AT', city='Jebenstein', street='null', housenumber='null', postcode='4615', name='Diskont Oberndorfer'}
{id=442589821, lat=47.346921, lon=11.6902671, country='null', city='null', street='null', housenumber='null', postcode='null', name='OMV'}
{id=444830313, lat=47.5863726, lon=12.1622694, country='null', city='Kufstein', street='null', housenumber='null', postcode='6330', name='Avanti'}
{id=444842984, lat=47.576601, lon=12.1606201, country='AT', city='Kufstein', street='null', housenumber='null', postcode='6330', name='Eni'}
{id=444858771, lat=47.5655819, lon=12.1502783, country='null', city='null', street='null', housenumber='null', postcode='null', name='Inntaler'}
{id=444956390, lat=47.3913936, lon=13.6821699, country='null', city='null', street='null', housenumber='null', postcode='null', name='Shell'}
{id=454332354, lat=47.4500988, lon=12.3910485, country='null', city='null', street='null', housenumber='null', postcode='null', name='Jet'}
{id=454548241, lat=48.0892032, lon=12.9917985, country='AT', city='Eggelsberg', street='null', housenumber='null', postcode='5142', name='null'}
{id=455547738, lat=47.3316708, lon=9.6370246, country='AT', city='Götzis', street='null', housenumber='null', postcode='6840', name='Shell'}
{id=470069499, lat=47.7180592, lon=13.5965788, country='null', city='null', street='null', housenumber='null', postcode='null', name='Jet'}
{id=486763058, lat=47.3074651, lon=11.0790576, country='null', city='null', street='null', housenumber='null', postcode='null', name='BP'}
{id=491177619, lat=47.8324206, lon=13.0859989, country='null', city='null', street='null', housenumber='null', postcode='null', name='Jet'}
{id=495146945, lat=47.1415762, lon=10.5634434, country='null', city='null', street='null', housenumber='null', postcode='null', name='Avanti'}
{id=498352304, lat=48.1594086, lon=14.0515326, country='null', city='null', street='null', housenumber='null', postcode='null', name='Sab-Tours'}
{id=507684661, lat=47.3054673, lon=11.0750128, country='null', city='Telfs', street='null', housenumber='null', postcode='6410', name='Shell'}
{id=512528465, lat=48.4850455, lon=13.5730549, country='null', city='null', street='null', housenumber='null', postcode='null', name='Tankstelle Lichtenauer'}
{id=540435153, lat=48.349753, lon=13.402069, country='null', city='null', street='null', housenumber='null', postcode='null', name='Avia'}
{id=540435158, lat=48.3449507, lon=13.4757081, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=548788809, lat=47.4211424, lon=13.3806431, country='null', city='null', street='null', housenumber='null', postcode='null', name='Shell'}
{id=560321120, lat=47.3183235, lon=11.6537949, country='AT', city='Weer', street='null', housenumber='null', postcode='6116', name='BP'}
{id=596084526, lat=47.383069, lon=11.772169, country='null', city='null', street='null', housenumber='null', postcode='null', name='BP Express'}
{id=597840928, lat=47.7682431, lon=12.9480127, country='AT', city='Wals-Siezenheim', street='null', housenumber='null', postcode='5071', name='Shell'}
{id=599814160, lat=47.4797, lon=12.538512, country='null', city='null', street='null', housenumber='null', postcode='null', name='eni'}
{id=611206118, lat=47.3173581, lon=11.8652633, country='null', city='null', street='null', housenumber='null', postcode='null', name='OIL!'}
{id=619716523, lat=47.8100592, lon=13.0464771, country='AT', city='Salzburg', street='null', housenumber='null', postcode='5020', name='Eni -24h'}
{id=621122297, lat=47.8224151, lon=13.0398441, country='AT', city='Salzburg', street='null', housenumber='null', postcode='5020', name='OMV'}
{id=623450343, lat=47.4986285, lon=9.946142, country='null', city='null', street='null', housenumber='null', postcode='null', name='Tanken&Sparen!'}
{id=643232553, lat=47.1363204, lon=10.9263003, country='AT', city='Umhausen', street='null', housenumber='null', postcode='6441', name='BP'}
{id=648552185, lat=47.3896195, lon=13.6539084, country='null', city='null', street='null', housenumber='null', postcode='null', name='Eni'}
{id=650048734, lat=47.8862722, lon=13.5242368, country='null', city='null', street='null', housenumber='null', postcode='null', name='BP'}
{id=652665707, lat=47.8200287, lon=13.0533296, country='AT', city='Salzburg', street='null', housenumber='null', postcode='5020', name='Shell'}
{id=656251439, lat=47.3811522, lon=13.4170011, country='null', city='null', street='null', housenumber='null', postcode='null', name='BP'}
{id=660859149, lat=47.3001923, lon=11.0732364, country='null', city='null', street='null', housenumber='null', postcode='null', name='Unser Lagerhaus'}
{id=660859157, lat=47.2995775, lon=11.0754875, country='null', city='null', street='null', housenumber='null', postcode='null', name='Disk'}
{id=661359917, lat=47.082861, lon=10.4640519, country='null', city='null', street='null', housenumber='null', postcode='null', name='Shell'}
{id=662580552, lat=47.7322035, lon=13.0861375, country='AT', city='Puch bei Hallein', street='null', housenumber='null', postcode='5412', name='Eni'}
{id=667028204, lat=47.4900168, lon=12.072709, country='AT', city='Wörgl', street='null', housenumber='null', postcode='6300', name='Avanti'}
{id=669908811, lat=47.5196612, lon=12.4177905, country='null', city='null', street='null', housenumber='null', postcode='null', name='Diskont-Tank Tankautomat'}
{id=685169534, lat=47.3604605, lon=10.1907026, country='null', city='null', street='null', housenumber='null', postcode='null', name='Avia Xpress'}
{id=690278666, lat=48.2469203, lon=14.183945, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=690526707, lat=47.8085645, lon=13.0530559, country='AT', city='Salzburg', street='null', housenumber='null', postcode='5020', name='BP'}
{id=702676133, lat=48.4825259, lon=13.562339, country='AT', city='Münzkirchen', street='null', housenumber='null', postcode='4792', name='null'}
{id=707061944, lat=48.2316744, lon=13.6183872, country='null', city='null', street='null', housenumber='null', postcode='null', name='Lagerhausgenossenschaft'}
{id=716921527, lat=47.5790915, lon=12.1686641, country='null', city='null', street='null', housenumber='null', postcode='null', name='Disk'}
{id=725895687, lat=47.3964399, lon=11.9223503, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=730674160, lat=47.4760111, lon=12.0188246, country='AT', city='Kundl', street='null', housenumber='null', postcode='6250', name='Unterer Tankstelle'}
{id=736618461, lat=47.7813552, lon=13.2407583, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=761547883, lat=47.5529119, lon=13.648219, country='null', city='null', street='null', housenumber='null', postcode='4830', name='Günstig Tanken'}
{id=765716011, lat=47.8013496, lon=13.0148998, country='AT', city='Salzburg', street='null', housenumber='null', postcode='5020', name='Jet'}
{id=766664210, lat=47.4230602, lon=12.8500448, country='null', city='null', street='null', housenumber='null', postcode='null', name='Avanti'}
{id=778340437, lat=48.4383736, lon=13.443781, country='AT', city='St. Florian am Inn', street='null', housenumber='null', postcode='4782', name='Avanti'}
{id=791083221, lat=47.0341207, lon=10.7482844, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=795675354, lat=47.4878585, lon=9.7332378, country='AT', city='Bregenz', street='null', housenumber='null', postcode='6900', name='OMV'}
{id=799454488, lat=47.2131272, lon=10.6965025, country='AT', city='Mils bei Imst', street='null', housenumber='null', postcode='6491', name='eni'}
{id=799499480, lat=47.5268835, lon=12.4241947, country='AT', city='St. Johann in Tirol', street='null', housenumber='null', postcode='6380', name='Eni'}
{id=799678868, lat=47.4963086, lon=12.3887487, country='AT', city='Oberndorf in Tirol', street='null', housenumber='null', postcode='6372', name='ENI Gutmann'}
{id=807784725, lat=47.5210029, lon=12.2509857, country='null', city='null', street='null', housenumber='null', postcode='null', name='eni-Tankstelle Blaiken'}
{id=815438865, lat=48.0743826, lon=13.1780225, country='null', city='null', street='null', housenumber='null', postcode='null', name='disk Tankautomat'}
{id=817805571, lat=48.1020299, lon=12.9684503, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=827500955, lat=47.8231637, lon=13.1994205, country='null', city='null', street='null', housenumber='null', postcode='null', name='Lagerhaus'}
{id=846425086, lat=47.3622296, lon=13.3833973, country='null', city='Flachau', street='null', housenumber='null', postcode='null', name='Austro Petrol Diskont'}
{id=848728588, lat=47.8235129, lon=13.1739207, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=863123761, lat=48.1508626, lon=13.2000812, country='null', city='null', street='null', housenumber='null', postcode='null', name='AVIA Rankl'}
{id=864670764, lat=47.8534214, lon=13.3442779, country='null', city='null', street='null', housenumber='null', postcode='null', name='OMV'}
{id=884757439, lat=47.2723283, lon=9.6080923, country='AT', city='Rankweil', street='null', housenumber='null', postcode='6830', name='Hofer Diskont'}
{id=891531752, lat=48.1142939, lon=13.1517745, country='null', city='null', street='null', housenumber='null', postcode='null', name='Hofer Diskont'}
{id=892480276, lat=47.8607197, lon=13.437277, country='null', city='null', street='null', housenumber='null', postcode='null', name='Tankstelle Roither'}
{id=893258767, lat=48.317257, lon=13.4252994, country='null', city='Ort im Innkreis', street='null', housenumber='null', postcode='4974', name='Avanti'}
{id=894117696, lat=48.1965478, lon=13.1291758, country='null', city='null', street='null', housenumber='null', postcode='null', name='Genol'}
{id=901561041, lat=47.8203064, lon=13.1115309, country='null', city='null', street='null', housenumber='null', postcode='null', name='Lang'}
{id=916174423, lat=47.8412785, lon=13.2486363, country='null', city='Thalgau', street='null', housenumber='null', postcode='5303', name='Avanti'}
{id=920074499, lat=47.8189514, lon=13.194565, country='null', city='null', street='null', housenumber='null', postcode='null', name='OMV BP'}
{id=920202220, lat=47.7234709, lon=13.4243296, country='null', city='null', street='null', housenumber='null', postcode='null', name='Shell'}
{id=920294774, lat=47.7173621, lon=13.5907966, country='null', city='Bad Ischl', street='null', housenumber='null', postcode='4820', name='Turmöl'}
{id=924675668, lat=47.8575851, lon=13.1195641, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=928041811, lat=47.0394646, lon=11.4750418, country='null', city='null', street='null', housenumber='null', postcode='null', name='BP'}
{id=937457585, lat=47.4183817, lon=12.421582, country='AT', city='Aurach bei Kitzbühel', street='null', housenumber='null', postcode='6371', name='BP'}
{id=937458604, lat=47.5213159, lon=12.2689257, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=937458607, lat=47.458225, lon=12.3865677, country='null', city='null', street='null', housenumber='null', postcode='null', name='BP'}
{id=937458609, lat=47.4561081, lon=12.3863837, country='null', city='null', street='null', housenumber='null', postcode='null', name='OMV'}
{id=951467945, lat=48.3075494, lon=13.4256583, country='AT', city='Ort im Innkreis', street='null', housenumber='null', postcode='4981', name='AP TRADING GmbH'}
{id=959819178, lat=48.2704087, lon=13.2618062, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
