country,date,diesel,diff_diesel,diff_e5,e5,index
Belgium,2021-06-07,1.45278,-0.10177999999999998,0.11339999999999995,1.4356,1
Belgium,2021-06-14,1.45776,-0.09675999999999996,0.0947,1.4613,1
Belgium,2021-06-21,1.50275,-0.13474999999999993,0.08207000000000009,1.48193,1
Belgium,2021-06-28,1.51472,-0.13472000000000017,0.08826,1.49874,1
Belgium,2021-07-05,1.51472,-0.12972000000000006,0.09526000000000012,1.49874,1
Belgium,2021-07-12,1.4943199999999999,-0.10231999999999997,0.11183999999999994,1.49116,1
Belgium,2021-07-19,1.48852,-0.08952000000000004,0.12207999999999997,1.49292,1
Belgium,2021-07-26,1.5029000000000001,-0.1079000000000001,0.10021999999999998,1.51278,1
Belgium,2021-08-02,1.5158699999999998,-0.11586999999999992,0.09949999999999992,1.5235,1
Belgium,2021-08-09,1.51633,-0.12532999999999994,0.1065999999999998,1.5144000000000002,1
Belgium,2021-08-16,1.49778,-0.10577999999999999,0.11904000000000003,1.50396,1
Belgium,2021-08-23,1.51143,-0.13742999999999994,0.06967000000000012,1.5333299999999999,1
Belgium,2021-08-30,1.49831,-0.10831000000000013,0.11668000000000012,1.49932,1
Belgium,2021-09-06,1.50074,-0.10573999999999995,0.11317000000000021,1.51083,1
Belgium,2021-09-13,1.5054,-0.10440000000000005,0.11776999999999993,1.51123,1
Belgium,2021-09-20,1.52755,-0.10755000000000003,0.1000399999999999,1.53596,1
Belgium,2021-09-27,1.52919,-0.09219,0.11043000000000003,1.52257,1
Belgium,2021-10-04,1.57099,-0.09699000000000013,0.12322000000000011,1.54378,1
Belgium,2021-10-11,1.5933499999999998,-0.0713499999999998,0.1334200000000001,1.5685799999999999,1
Belgium,2021-10-18,1.64425,-0.08424999999999994,0.10821999999999998,1.62178,1
Belgium,2021-10-25,1.64239,-0.07339000000000007,0.10566000000000009,1.62934,1
Belgium,2021-11-01,1.65796,-0.08696000000000015,0.09797000000000011,1.6440299999999999,1
Belgium,2021-11-08,1.6768399999999999,-0.10183999999999993,0.07891000000000004,1.67309,1
Belgium,2021-11-15,1.6846400000000001,-0.11164000000000018,0.07376000000000005,1.68624,1
Belgium,2021-11-22,1.6825899999999998,-0.12158999999999986,0.023460000000000036,1.71754,1
Belgium,2021-11-29,1.66875,-0.11874999999999991,0.07234999999999991,1.64165,1
